ym,year,month,avg_max_temp,avg_min_temp,avg_mean_temp,total_rain_mm,rainy_days,avg_soil_moisture,avg_et0,total_sunshine_hrs,avg_price,total_arrivals
2025-02,2025,2,29.307142857142857,14.939285714285715,21.88214285714286,0.0,0,0.24221428571428572,5.0303571428571425,302.8132777777777,5838.615384615385,3716.98
2025-03,2025,3,34.66451612903226,19.43548387096774,27.003225806451614,0.0,0,0.23938709677419354,6.916774193548386,362.6931222222222,4534.8,3570.71
2025-04,2025,4,39.763333333333335,24.953333333333333,32.553333333333335,0.0,0,0.23516666666666666,8.928666666666667,358.15006944444445,3601.1111111111113,2496.95
2025-05,2025,5,36.60645161290322,25.416129032258063,30.432258064516127,28.5,8,0.3271612903225806,6.5441935483870965,343.5783361111111,4785.5161290322585,2213.07
2025-06,2025,6,34.343333333333334,25.183333333333334,29.276666666666664,190.2,17,0.3775,5.466666666666667,250.37894722222222,4459.666666666667,1528.06
2025-07,2025,7,29.26774193548387,23.674193548387095,26.05483870967742,289.1,23,0.4912258064516129,3.1938709677419355,159.75878055555555,3886.28,1824.1299999999999
2025-08,2025,8,29.338709677419356,23.23225806451613,25.783870967741933,289.0,26,0.4679032258064516,3.5658064516129033,241.31717222222224,4243.714285714285,1767.72
2025-09,2025,9,29.986666666666668,22.576666666666664,25.796666666666667,180.1,15,0.3983666666666667,3.9106666666666667,292.0213277777778,3213.0,2303.52
2025-10,2025,10,29.835483870967742,20.396774193548385,24.674193548387095,119.0,9,0.3409032258064516,3.953225806451613,290.1855194444444,3350.9545454545455,1557.05
2025-11,2025,11,26.84,14.29,19.966666666666665,3.4,1,0.3155333333333334,3.477333333333333,314.0428305555556,3152.5,1850.28
2025-12,2025,12,25.19677419354839,10.332258064516129,17.10967741935484,0.0,0,0.269,2.9883870967741935,307.78315833333335,5599.178571428572,1039.53
2026-01,2026,1,23.874193548387098,11.048387096774194,16.758064516129032,3.1,1,0.27080645161290323,2.9948387096774196,308.34840555555553,7747.36,1400.51
2026-02,2026,2,27.775000000000002,14.946428571428571,20.79642857142857,3.5,1,0.308,3.926071428571429,295.5913611111111,6515.72,3025.28
2026-03,2026,3,33.95483870967742,19.67096774193548,26.738709677419354,0.1,0,0.24864516129032257,6.354193548387096,357.70801111111115,5401.357142857143,1980.73
2026-04,2026,4,36.60333333333333,23.30666666666667,30.029999999999998,2.7,1,0.2526333333333333,7.966333333333334,356.83676388888887,4759.241379310345,2089.29
2026-05,2026,5,38.95,25.55,32.0,0.0,0,0.245,8.780000000000001,24.0,5952.5,68.72
